solver,puzzle_id,category,givens,solved,nodes_explored,assignments_tried,constraint_checks,candidate_eliminations,domain_lookups,propagated_assignments,hidden_singles_found,naked_pairs_found,columns_covered,restarts,conflicts,timed_out,runtime_median_s,runtime_all_s,num_runs
brute_force,easy_01,easy,30,False,1271386,1271385,3041469,0,0,0,0,0,0,0,0,True,5.004233624997141,5.004234,1
brute_force_row_pruned,easy_01,easy,30,False,619068,5570991,5419712,0,0,0,0,0,0,0,0,True,5.00100791699515,5.001008,1
brute_force_row_box_pruned,easy_01,easy,30,False,382087,3437991,5041735,0,0,0,0,0,0,0,0,True,5.003375584004971,5.003376,1
backtracking,easy_01,easy,30,True,4209,37652,37652,0,0,0,0,0,0,0,0,False,0.026147915996261872,0.026148;0.026203;0.026094;0.026154;0.026125,5
mrv,easy_01,easy,30,True,52,51,11934,0,0,0,0,0,0,0,0,False,0.006740415999956895,0.006785;0.006761;0.006725;0.006732;0.006740,5
forward_checking,easy_01,easy,30,True,52,51,459,102,0,0,0,0,0,0,0,False,0.0006370420014718547,0.000759;0.000664;0.000635;0.000635;0.000637,5
mrv_degree,easy_01,easy,30,True,52,51,11934,0,0,0,0,0,0,0,0,False,0.0075638749985955656,0.007564;0.007578;0.007564;0.007545;0.007550,5
lcv,easy_01,easy,30,True,52,51,459,102,313,0,0,0,0,0,0,False,0.0007506670008297078,0.000778;0.000764;0.000751;0.000744;0.000740,5
ac3,easy_01,easy,30,True,1,0,459,102,0,51,0,0,0,0,0,False,0.00045112500083632767,0.000496;0.000456;0.000451;0.000448;0.000451,5
human_technique,easy_01,easy,30,True,1,0,459,102,0,51,0,0,0,0,0,False,0.0005071250052424148,0.000539;0.000519;0.000504;0.000507;0.000505,5
dlx,easy_01,easy,30,True,52,51,0,0,0,0,0,0,324,0,0,False,0.0014638329957961105,0.004687;0.001361;0.001464;0.001313;0.002460,5
sat,easy_01,easy,30,True,1,0,0,648,0,81,0,0,0,0,0,False,0.0047770419987500645,0.005190;0.004777;0.004767;0.004750;0.014548,5
min_conflicts,easy_01,easy,30,True,12031,56483,11595390,0,0,0,0,0,0,2,0,False,1.7330562499992084,1.724744;1.732333;1.750447;1.736215;1.733056,5
cp_sat,easy_01,easy,30,True,0,0,0,0,0,0,0,0,0,0,0,False,0.0009507909999229014,0.003533;0.001039;0.000951;0.000913;0.000885,5
brute_force,easy_02,easy,36,False,1207342,1207341,3100452,0,0,0,0,0,0,0,0,True,5.002430540997011,5.002431,1
brute_force_row_pruned,easy_02,easy,36,False,560065,5039991,5621613,0,0,0,0,0,0,0,0,True,5.009092583000893,5.009093,1
brute_force_row_box_pruned,easy_02,easy,36,False,501064,4508991,5328789,0,0,0,0,0,0,0,0,True,5.000785708005424,5.000786,1
backtracking,easy_02,easy,36,True,260,2152,2152,0,0,0,0,0,0,0,0,False,0.0015607499954057857,0.001583;0.001551;0.001561;0.001563;0.001553,5
mrv,easy_02,easy,36,True,46,45,9315,0,0,0,0,0,0,0,0,False,0.0050245000020368025,0.005024;0.005025;0.005015;0.005049;0.005035,5
forward_checking,easy_02,easy,36,True,46,45,405,75,0,0,0,0,0,0,0,False,0.0005223330008448102,0.000565;0.000522;0.000520;0.000525;0.000511,5
mrv_degree,easy_02,easy,36,True,46,45,9315,0,0,0,0,0,0,0,0,False,0.005359124996175524,0.005359;0.005363;0.005344;0.005365;0.005353,5
lcv,easy_02,easy,36,True,46,45,405,75,245,0,0,0,0,0,0,False,0.0006055420017219149,0.000623;0.000618;0.000606;0.000599;0.000600,5
ac3,easy_02,easy,36,True,2,1,405,75,0,44,0,0,0,0,0,False,0.0003818340046564117,0.000402;0.000388;0.000382;0.000381;0.000382,5
human_technique,easy_02,easy,36,True,2,1,405,75,261,44,2,0,0,0,0,False,0.0005359580027288757,0.000571;0.000541;0.000536;0.000530;0.000528,5
dlx,easy_02,easy,36,True,46,45,0,0,0,0,0,0,324,0,0,False,0.0012772920017596334,0.001302;0.001277;0.001251;0.002525;0.001242,5
sat,easy_02,easy,36,True,2,1,0,648,0,81,0,0,0,0,0,False,0.004578374995617196,0.005382;0.004593;0.004578;0.004570;0.004557,5
min_conflicts,easy_02,easy,36,True,27643,117930,23607286,0,0,0,0,0,0,5,0,False,3.5627475420042174,3.571469;3.560392;3.562748;3.585660;3.542325,5
cp_sat,easy_02,easy,36,True,0,0,0,0,0,0,0,0,0,0,0,False,0.0009933330002240837,0.001418;0.001088;0.000993;0.000957;0.000939,5
brute_force,medium_01,medium,30,False,2331379,2331378,2071957,0,0,0,0,0,0,0,0,True,5.00222683299944,5.002227,1
brute_force_row_pruned,medium_01,medium,30,False,562059,5057991,5472876,0,0,0,0,0,0,0,0,True,5.009830166003667,5.009830,1
brute_force_row_box_pruned,medium_01,medium,30,False,482035,4337991,5133266,0,0,0,0,0,0,0,0,True,5.010782040997583,5.010782,1
backtracking,medium_01,medium,30,True,6805,61044,61044,0,0,0,0,0,0,0,0,False,0.04272816600132501,0.043219;0.042811;0.042728;0.042629;0.042650,5
mrv,medium_01,medium,30,True,117,116,27396,0,0,0,0,0,0,0,0,False,0.015466790995560586,0.015503;0.015452;0.015467;0.015471;0.015429,5
forward_checking,medium_01,medium,30,True,111,116,459,333,0,0,0,0,0,0,0,False,0.001088915996660944,0.001209;0.001089;0.001098;0.001080;0.001076,5
mrv_degree,medium_01,medium,30,True,58,57,13338,0,0,0,0,0,0,0,0,False,0.008737666001252364,0.008783;0.008808;0.008727;0.008725;0.008738,5
lcv,medium_01,medium,30,True,109,114,459,291,808,0,0,0,0,0,0,False,0.001295082998694852,0.001329;0.001313;0.001290;0.001295;0.001288,5
ac3,medium_01,medium,30,True,12,17,459,274,0,94,0,0,0,0,0,False,0.0006965409993426874,0.000734;0.000695;0.000697;0.000717;0.000692,5
human_technique,medium_01,medium,30,True,6,5,459,137,6111,46,11,0,0,0,0,False,0.0014935830040485598,0.001536;0.001488;0.001494;0.001470;0.001494,5
dlx,medium_01,medium,30,True,52,51,0,0,0,0,0,0,324,0,0,False,0.0013553329990827478,0.001486;0.001355;0.002114;0.001333;0.001287,5
sat,medium_01,medium,30,True,3,2,0,648,0,81,0,0,0,0,0,False,0.004548709002847318,0.005556;0.004475;0.004457;0.013773;0.004549,5
min_conflicts,medium_01,medium,30,True,10875,47600,10361938,0,0,0,0,0,0,2,0,False,1.5457114590026322,1.542316;1.549069;1.551326;1.545711;1.540518,5
cp_sat,medium_01,medium,30,True,447,0,0,0,0,0,0,0,0,0,0,False,0.0041229580019717105,0.004988;0.004226;0.004123;0.004014;0.004003,5
brute_force,medium_02,medium,28,False,1282411,1282410,2991980,0,0,0,0,0,0,0,0,True,5.002622249994602,5.002622,1
brute_force_row_pruned,medium_02,medium,28,False,503076,4526991,5130664,0,0,0,0,0,0,0,0,True,5.008854250001605,5.008854,1
brute_force_row_box_pruned,medium_02,medium,28,False,460123,4139991,5146368,0,0,0,0,0,0,0,0,True,5.009245499997633,5.009245,1
backtracking,medium_02,medium,28,True,16846,151375,151375,0,0,0,0,0,0,0,0,False,0.10561308299656957,0.105363;0.105621;0.105613;0.105641;0.105503,5
mrv,medium_02,medium,28,True,54,53,12879,0,0,0,0,0,0,0,0,False,0.007913417000963818,0.007913;0.007900;0.007932;0.007926;0.007908,5
forward_checking,medium_02,medium,28,True,54,53,477,150,0,0,0,0,0,0,0,False,0.0007044580052024685,0.000759;0.000707;0.000704;0.000696;0.000695,5
mrv_degree,medium_02,medium,28,True,68,67,17532,0,0,0,0,0,0,0,0,False,0.011545250003109686,0.011572;0.011524;0.011565;0.011529;0.011545,5
lcv,medium_02,medium,28,True,99,102,477,305,800,0,0,0,0,0,0,False,0.0013116249974700622,0.001348;0.001312;0.001313;0.001302;0.001302,5
ac3,medium_02,medium,28,True,10,9,477,150,0,44,0,0,0,0,0,False,0.0005599160067504272,0.000585;0.000568;0.000560;0.000555;0.000556,5
human_technique,medium_02,medium,28,True,12,11,477,148,15574,42,11,3,0,0,0,False,0.0027367500006221235,0.002792;0.002746;0.002737;0.002717;0.002720,5
dlx,medium_02,medium,28,True,54,53,0,0,0,0,0,0,324,0,0,False,0.0012970000025234185,0.001359;0.001670;0.001297;0.001280;0.001277,5
sat,medium_02,medium,28,True,6,5,0,648,0,81,0,0,0,0,0,False,0.0043112499988637865,0.005905;0.004318;0.004311;0.004303;0.004272,5
min_conflicts,medium_02,medium,28,True,3259,16402,3280238,0,0,0,0,0,0,0,0,False,0.4841807909979252,0.483606;0.482778;0.484335;0.484226;0.484181,5
cp_sat,medium_02,medium,28,True,1605,0,0,0,0,0,0,0,0,0,0,False,0.007771041993692052,0.008492;0.007846;0.007768;0.007771;0.007734,5
brute_force,hard_01,hard,26,False,2321398,2321397,2063066,0,0,0,0,0,0,0,0,True,5.0011336660027155,5.001134,1
brute_force_row_pruned,hard_01,hard,26,False,537051,4832991,5093207,0,0,0,0,0,0,0,0,True,5.001745417001075,5.001745,1
